gamename,avg,gain,peak,avg_peak_perc
My Summer Car,874.61,4.59,1761,49.6655%
Banished,1139.1,-29.98,1953,58.3257%
XCOM: Enemy Unknown,1024.49,202.16,1973,51.9255%
OMSI 2,833.31,-42.96,1765,47.213%
The Elder Scrolls IV: Oblivion,1352.43,-17.48,2439,55.4502%
A Dance of Fire and Ice,1438.74,344.65,3075,46.7883%
Crusaders of the Lost Idols,1395.85,14.87,1730,80.685%
Farming Simulator 17,909.36,-121.46,1922,47.3132%
Barotrauma,924.67,18.1,1839,50.2811%
Spore,968.91,-42.73,2000,48.4455%
Insurgency,902.59,4.21,1483,60.8624%
Enter the Gungeon,1182.81,-187.17,1589,74.4374%
Minion Masters,1100.81,185.46,1667,66.0354%
Source Filmmaker,1275.36,-38.66,1685,75.689%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,1497.51,70.64,3641,41.1291%
The Lord of the Rings Online,985.95,-28.98,1880,52.4441%
Tropico 6,1035.98,-191.51,2289,45.2591%
Realm Grinder,1337.04,89.77,1968,67.939%
Blood of Steel,885.77,-38.53,1580,56.0614%
Realm Royale,1014.05,-10.66,1745,58.1117%
Victoria II,1075.52,-98.92,1969,54.6227%
BioShock Remastered,770.08,335.56,1918,40.1502%
Undertale,1110.95,-292.91,1544,71.9527%
DOOM,1056.09,-344.17,2062,51.2168%
Just Cause 3,1016.29,-175.1,1779,57.127%
Naval Action,1031.94,174.34,1941,53.1654%
Age of Empires: Definitive Edition,965.65,-150.86,1971,48.9929%
Age of History II,865.96,36.73,1356,63.8614%
Football Manager 2016,868.82,-48.31,1499,57.96%
Temtem,1103.73,-69.07,1727,63.9102%
Ironsight,905.29,-51.04,1493,60.6356%
Fallout Shelter,1035.25,-37.72,1496,69.2012%
CODE VEIN,1004.44,-438.24,2113,47.5362%
Battle Brothers,1026.04,-40.38,1633,62.8316%
Cossacks 3,738.69,-85.99,1816,40.6768%
Rising Storm 2: Vietnam,1199,-64.37,2028,59.1223%
KARDS - The WWII Card Game,1025.04,121.3,1746,58.7079%
Surviving Mars,1011.45,-136.59,1900,53.2342%
Game of Thrones Winter is Coming,1028.47,17.19,1592,64.6024%
Project CARS 2,776.13,-90.66,1553,49.9762%
Governor of Poker 3,979.88,14.28,1597,61.3575%
Outward,852.4,-781.1,1638,52.0391%
FTL: Faster Than Light,1204.12,25.15,1854,64.9471%
Out of the Park Baseball 21,1349.92,109.26,1916,70.4551%
Metin2,672.23,-352.98,1423,47.2403%
Rocksmith® 2014 Edition - Remastered,999.87,-32.04,1669,59.9083%
Train Sim World® 2,555.47,-10.73,1657,33.5226%
War Robots,887.47,-60.97,1505,58.9681%
Mass Effect: Andromeda,1225.19,131.97,2796,43.8194%
Control Ultimate Edition,823.77,-435.18,1554,53.0097%
Half-Life 2,829.1,-242.56,1424,58.2233%
TERA,802.15,75.86,1505,53.299%
Cell to Singularity - Evolution Never Ends,933.88,-107.95,1252,74.5911%
Half-Life: Alyx,745.69,-281.22,1520,49.0586%
PC Building Simulator,981,-242.23,1920,51.0938%
Cuphead,1023.95,-219.11,1720,59.532%
Yakuza: Like a Dragon,1113.53,-810.72,3884,28.6697%
Divinity: Original Sin Enhanced Edition,791.62,-148.69,1644,48.1521%
War Selection,719.61,43.89,1310,54.9321%
Dawn of Man,829.57,-160.44,1534,54.0789%
Wolcen: Lords of Mayhem,709.82,-261.46,1321,53.7335%
F1 2019,611.41,-276.33,1343,45.5257%
Trailmakers,588.74,-117.3,1223,48.139%
Monster Train,888.19,-554.37,1388,63.9906%
Football Manager 2015,726.68,-25.71,1302,55.8126%
FINAL FANTASY XV WINDOWS EDITION,754.34,-316.27,1344,56.1265%
Batman: Arkham Knight,1176.25,132.23,2801,41.9939%
Pro Cycling Manager 2020,652.33,51.25,1593,40.9498%
Golf It!,1010.83,-195.37,2150,47.0153%
Deadside,725.01,-426.02,1384,52.3851%
Mafia III: Definitive Edition,690.63,-5.62,1353,51.0443%
Fallout: New Vegas RU,578.75,-97.42,1265,45.751%
Wreckfest,946.19,-31.23,2577,36.7167%
The Witcher 2: Assassins of Kings Enhanced Edition,728.58,-173.54,1624,44.8633%
Wargame: Red Dragon,786.03,-29.48,1337,58.7906%
Deceit,728.45,39,1251,58.2294%
Idling to Rule the Gods,1057.95,0.72,1239,85.3874%
Pillars of Eternity II: Deadfire,815.35,-239.78,1483,54.9798%
Crush Crush,1274.23,22.48,1940,65.682%
"Warhammer 40,000: Dawn of War - Soulstorm",792.76,-50.18,1419,55.8675%
Ravenfield,867.77,-43.45,1151,75.3927%
Avorion,724.54,-266.8,1210,59.8793%
Far Cry 4,766.11,-326.34,1499,51.1081%
Black Mesa,806.1,-257.89,1701,47.3898%
Pavlov VR,983.57,-253.03,1924,51.1211%
Life is Feudal: Your Own,662.79,-34.94,1340,49.4619%
The Witcher: Enhanced Edition,779.8,-216.69,1745,44.6877%
PGA TOUR 2K21,834.45,69.4,1629,51.2247%
The Outer Worlds,694.32,-698.63,1465,47.3939%
BioShock Infinite,770,204.86,1394,55.2367%
Bloons TD Battles,878.23,10.75,1294,67.8694%
Teardown,577.05,-85.25,1167,49.4473%
Timberborn Demo,272.46,166.82,1084,25.1347%
RPG Maker MV,949.09,-39.82,1200,79.0908%
STAR WARS Knights of the Old Republic II: The Sith Lords,735.75,-224.64,1406,52.3293%
Resident Evil 3,747.4,-192.51,1567,47.6962%
Resident Evil 4,759.19,23.64,1224,62.0253%
UBOAT,612.96,-150.47,1317,46.5421%
Far Cry New Dawn,752.08,-460.68,1469,51.1967%
GTFO,759.7,-281.03,1390,54.6547%
This War of Mine,853.96,-75.2,1689,50.5601%
RaceRoom Racing Experience,536.04,-34.4,1384,38.7312%
Tree of Savior (Japanese Ver.),945.78,19.18,1456,64.9574%
Post Scriptum,741.29,-70.05,1612,45.9857%
Far Cry® 3,635.11,-255.8,1318,48.1874%
Graveyard Keeper,869.89,-411.06,1894,45.9287%
CRSED,748.9,-28.91,1305,57.387%
Terraforming Mars,726.58,56.41,1645,44.169%
Steel Division 2,664.65,64.62,1196,55.5727%
Ultimate Epic Battle Simulator,549.92,-149.39,3732,14.7353%
Resident Evil 6,654.91,-21.17,1287,50.8866%
Phoenix Point: Year One Edition,568.35,-479.75,1134,50.119%
Dishonored 2,730.24,-95.19,1192,61.2617%
Blood Bowl 2,640.52,-48.65,1640,39.0561%
OVR Advanced Settings,856.66,33.22,1392,61.5417%
Motorsport Manager,680.49,-187.53,1257,54.136%
A Way Out,707.11,165.94,1731,40.8498%
Tom Clancy's The Division,761.28,-228.32,1492,51.0241%
Steep,387.27,116.56,1379,28.0834%
Action Taimanin,773.06,-27.47,1493,51.779%
Sins of a Solar Empire: Rebellion,645.47,-102.91,1215,53.1251%
The Divine Paradox,305.61,-20.12,1149,26.5979%
rFactor 2,533.62,-33.66,1244,42.8955%
Rise of Nations: Extended Edition,721.46,-49.9,1289,55.9705%
Idle Monster TD,890.08,81.89,1088,81.8088%
Danganronpa 2: Goodbye Despair,841.82,-256.23,1171,71.889%
Ori and the Blind Forest: Definitive Edition,771.39,-1.64,1737,44.4093%
Borderlands: The Pre-Sequel,588.74,82.83,1168,50.4058%
Unrailed!,381.26,-895.26,1151,33.1242%
Soccer Manager 2021,707.83,55.08,1149,61.604%
DDraceNetwork,808.88,204.41,1356,59.6519%
Idle Wizard,846.07,-64.27,1036,81.667%
Wasteland 3,684.46,-384.34,1475,46.4041%
Stick Fight: The Game,761.63,-328.53,1418,53.7116%
Mindustry,636.9,-289.05,915,69.6066%
Yakuza Kiwami 2,578.28,-101.2,913,63.3384%
Citadel: Forged With Fire,340.49,213.85,1151,29.5821%
Stream Avatars,988.23,97.83,1477,66.9079%
Digimon Masters Online,816.06,-44.85,1441,56.6315%
DJMAX RESPECT V,832.37,71.62,2620,31.7698%
Dead Frontier 2,615.14,94.65,1407,43.72%
MudRunner,672.33,-99.55,1572,42.7691%
Middle-earth: Shadow of Mordor,562.1,-131.28,1102,51.0073%
ShareX,816.21,11.71,1115,73.2027%
Counter-Strike Nexon: Studio,667.77,-86.33,1222,54.6457%
Mad Max,661.46,-43.71,1377,48.0363%
<U+55DC><U+8840><U+5370> Bloody Spell,756.2,272.31,2899,26.0849%
Golf With Your Friends,1014.51,-223.11,2786,36.4146%
Lobotomy Corporation,850.67,-45.89,1899,44.7957%
