gamename,avg,gain,peak,avg_peak_perc
Viridi,114.27,6.3,157,72.7834%
Homefront,18.9,-3.27,56,33.75%
Magicite,78.65,-32.53,192,40.9635%
Nidhogg,44.33,-42.67,89,49.809%
Hatred,21.96,-12.82,52,42.2308%
"Warhammer 40,000: Eternal Crusade",206.83,66.35,716,28.8869%
FlatOut 2,68.51,20.61,206,33.2573%
Machinarium,20.62,-6.48,61,33.8033%
DLC Quest,6.07,-3.49,16,37.9375%
PROTOTYPE 2,67.29,-31.67,117,57.5128%
Homeworld Remastered Collection,173.42,-40.52,324,53.5247%
Planetary Annihilation: TITANS,180.22,-167.43,356,50.6236%
Orcs Must Die!,32.41,-14.44,69,46.971%
Blockstorm,97.51,43.22,287,33.9756%
Serious Sam 2,41.28,-34.44,88,46.9091%
F.E.A.R. 3,56.86,-9.99,120,47.3833%
Lucy -The Eternity She Wished For-,3.14,-2.33,9,34.8889%
Supreme Commander 2,312.32,-25.7,548,56.9927%
Sunless Sea,124.69,-70.87,247,50.4818%
Jotun: Valhalla Edition,8.24,-10.33,19,43.3684%
FINAL FANTASY VIII,285.68,-115.35,468,61.0427%
This Is the Police,1095.28,1092.08,3093,35.4116%
Broken Age,38.5,-20.77,87,44.2529%
Book of Demons,32.17,17.55,163,19.7362%
Riders of Icarus,4567.67,-1537.59,8684,52.5987%
Tales of Zestiria,378.04,-246.97,658,57.4529%
Far Cry 2,132.88,57.84,605,21.9636%
RUINER,0.09,NA,2,4.5%
Tower Unite,64.53,-19.46,149,43.3087%
Zombie Panic! Source,84.54,4.77,179,47.2291%
Race The Sun,26.18,-3.7,52,50.3462%
RUNNING WITH RIFLES,147.37,45.47,592,24.8936%
The Way of Life Free Edition,18.38,-14.91,36,51.0556%
Half-Life: Opposing Force,61.98,-18.88,118,52.5254%
Stonehearth,300.14,-153.88,560,53.5964%
Hatoful Boyfriend,18.84,-10.54,48,39.25%
METAL SLUG 3,19.34,-10.16,40,48.35%
Bit Blaster XL,21.49,-1.51,103,20.8641%
Saints Row: Gat out of Hell,74.39,-89.54,152,48.9408%
Lethal League,124.86,51.04,413,30.2324%
Never Alone (Kisima Ingitchuna),26.54,-9.18,53,50.0755%
Timberman,43.49,19.87,331,13.139%
Cave Story+,23.6,-14.6,51,46.2745%
Kingdom Rush,203.95,88.62,1539,13.2521%
Rebel Galaxy,173.3,-92.22,318,54.4969%
Hammerwatch,58.28,-32.73,117,49.812%
Recettear: An Item Shop's Tale,48.7,-32.19,83,58.6747%
The Mean Greens - Plastic Warfare,7.31,-4.14,22,33.2273%
Devil May Cry 4 Special Edition,132.84,37.77,509,26.0982%
Pit People,2.05,0.53,19,10.7895%
Gauntlet,81.74,-59.81,184,44.4239%
The Incredible Adventures of Van Helsing,63.16,-64.78,188,33.5957%
Supreme Commander: Forged Alliance,332.19,-35.42,668,49.729%
GRID Autosport,137.36,-25.74,274,50.1314%
Resident Evil Revelations,122.38,-9.98,367,33.346%
Killer is Dead,19.96,-5.82,71,28.1127%
Reigns,360.51,360.33,1607,22.4337%
Five Nights at Freddy's 3,13.39,-4.93,36,37.1944%
Fran Bow,49.24,-29.21,224,21.9821%
Guacamelee! Gold Edition,18.97,-8.15,86,22.0581%
Magicka 2,56.52,-52.42,131,43.145%
Her Story,19.2,-15.45,50,38.4%
Dead Bits,52.96,23.01,373,14.1984%
The Ship,28.47,-17.02,61,46.6721%
Rivals of Aether,88.86,14.96,275,32.3127%
War Trigger 3,191.55,-12.24,330,58.0455%
Road Redemption,20.63,-14.35,46,44.8478%
Company of Heroes - Legacy Edition,84.46,-12.68,157,53.7962%
Five Nights at Freddy's: Sister Location,0,NA,0,NaN%
Fallout 2,110.46,-3.88,211,52.3507%
Elsword,429.87,-92.52,746,57.6233%
Paint the Town Red,120.2,-40.73,257,46.7704%
Grand Theft Auto III,52.12,-37.41,110,47.3818%
The Silent Age,6.14,-8.02,21,29.2381%
Party Hard,117.22,-86.09,474,24.73%
Faeria,441.8,269.35,2395,18.4468%
Sonic Adventure 2,82.03,-44.13,148,55.4257%
Dead or Alive 5 Last Round,50.14,-10.37,102,49.1569%
Ballistic Overkill,30.91,-2.36,67,46.1343%
Kingdom: New Lands,872.11,NA,3495,24.9531%
Mandagon,103.58,NA,257,40.3035%
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,96.05,-59.75,165,58.2121%
Serena,3.15,0.51,12,26.25%
Gaokao.Love.100Days,35.46,-3.75,80,44.325%
Line of Sight,2.02,NA,23,8.7826%
SimplePlanes,201.92,-7.02,356,56.7191%
Styx: Master of Shadows,69.26,-46.03,145,47.7655%
Democracy 3,83.77,-61.5,163,51.3926%
Downwell,42.32,-17.33,99,42.7475%
CastleMiner Z,36.09,-10.11,79,45.6835%
Slender: The Arrival,15.72,-8.41,37,42.4865%
Devil Daggers,18,-16.86,39,46.1538%
E.Y.E: Divine Cybermancy,28.55,-17.16,62,46.0484%
ONE PIECE PIRATE WARRIORS 3,225.79,-266.33,430,52.5093%
Primal Carnage,50.09,-23.44,103,48.6311%
Evoland,9.56,-11.62,24,39.8333%
Duke Nukem Forever,97.43,-21.27,294,33.1395%
Tree of Life,82.8,-69.78,246,33.6585%
Legend of Grimrock,46.12,-17.88,93,49.5914%
Secret World Legends,238.08,-132.46,460,51.7565%
Transport Fever,0.96,0.51,5,19.2%
Binary Domain,32.91,10.36,95,34.6421%
WAKFU,542.62,-50.87,989,54.8655%
Command and Conquer: Red Alert 3,224.3,-15.69,805,27.8634%
Dark Messiah of Might & Magic Single Player,77.19,31.32,332,23.25%
Fable - The Lost Chapters,68.48,0.51,124,55.2258%
Amnesia: A Machine for Pigs,9.27,-3.54,23,40.3043%
EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,1333.91,-856.81,3522,37.8737%
Assassin's Creed Rogue,170.12,-103.2,319,53.3292%
THE KING OF FIGHTERS XIII STEAM EDITION,94.47,-31.34,186,50.7903%
Murder Miners,24.75,-7.17,79,31.3291%
Stronghold Crusader 2,277.82,-59.17,694,40.0317%
MechWarrior Online,1043.33,-2.16,2116,49.3067%
Garfield Kart,4.88,2.68,14,34.8571%
"Cook, Serve, Delicious!",49.49,-20.81,98,50.5%
System Shock 2,27.62,-20.08,58,47.6207%
Furi,38.61,-80.25,91,42.4286%
Victor Vran,74.55,-94.34,159,46.8868%
Melody's Escape,17.16,-15.03,32,53.625%
Planetbase,538.51,-22.9,1278,42.1369%
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,46.42,-32.7,90,51.5778%
Baldur's Gate: Enhanced Edition,355.28,-63.98,667,53.2654%
Stories: The Path of Destinies,7.16,-20.89,20,35.8%
Jazzpunk: Director's Cut,11.71,-2.78,35,33.4571%
Grim Fandango Remastered,41.38,-30.95,95,43.5579%
Poly Bridge,174.92,-159.64,325,53.8215%
SteamWorld Dig,13.25,-12.28,30,44.1667%
I am Bread,26.12,-19.19,57,45.8246%
Enclave,32.41,2.12,230,14.0913%
EVERSPACE,9.88,NA,26,38%
BEEP,28.38,1.03,209,13.5789%
Fable Anniversary,164.08,-445.06,332,49.4217%
Valley,21.12,20.93,110,19.2%
Atlas Reactor,184.97,6.67,456,40.5636%
Distance,23.93,-16.27,58,41.2586%
From The Depths,784.56,188.73,1356,57.8584%
DOOM 3: BFG Edition,114.77,-16.32,299,38.3846%
Serious Sam HD: The First Encounter,39.52,-37.08,79,50.0253%
War for the Overworld,94.68,-63.23,189,50.0952%
Polarity,13.25,-13.74,34,38.9706%
SURVIVAL: Postapocalypse Now,27.01,-9.14,84,32.1548%
Max Payne,18.27,-10.21,38,48.0789%
The Tiny Bang Story,7.68,-2.57,20,38.4%
Worms Revolution,123.71,-93.05,287,43.1045%
Among the Sleep,11.6,-3.76,29,40%
State of Decay: Year-One,161.98,13.8,332,48.7892%
Dungeons of Dredmor,60.66,-9.03,122,49.7213%
FINAL FANTASY IX,268.98,-62.4,484,55.5744%
TOXIKK,4.67,1.31,19,24.5789%
Darkwood,6.84,-0.62,20,34.2%
Grow Home,55.47,7.67,152,36.4934%
Time Clickers,861.94,-150.75,1153,74.7563%
Risen,102.19,-39.3,287,35.6063%
Planet Explorers,125.77,43.84,233,53.9785%
Morphopolis,20.85,-14.46,103,20.2427%
"Pirates, Vikings, & Knights II",95.69,2.95,172,55.6337%
Castlevania: Lords of Shadow - Ultimate Edition,43.92,-35.57,101,43.4851%
Torchlight,44.09,-33.03,88,50.1023%
Woodle Tree Adventures,33.23,-11.83,188,17.6755%
Half-Life: Blue Shift,34.2,-10.96,66,51.8182%
Aragami,0.07,-0.01,2,3.5%
Gothic II: Gold Edition,65.9,-12.33,139,47.4101%
Bloons TD5,263.17,-82.64,429,61.345%
Turbo Dismount,61.6,-12.26,106,58.1132%
Lost Lands: A Hidden Object Adventure,63.96,-0.81,105,60.9143%
Audiosurf 2,62.23,-21.21,109,57.0917%
Euro Truck Simulator,26.05,-23.69,59,44.1525%
Lost Lands: Mahjong,80.15,-8.66,135,59.3704%
Half-Life: Source,40.62,-26.78,85,47.7882%
Crawl,31.89,-1.53,87,36.6552%
Jalopy,47.05,-0.13,131,35.916%
Plantera,95.5,0.23,190,50.2632%
Blockland,114.65,-12.93,243,47.1811%
The Ultimate DOOM,20.64,-4.6,62,33.2903%
Prototype,35.49,-29.36,64,55.4531%
SpaceChem,28.21,-15.93,58,48.6379%
ENSLAVED: Odyssey to the West Premium Edition,14.57,-9.01,36,40.4722%
Strife,166.85,-18.85,299,55.8027%
Vindictus,457.97,-227.99,1146,39.9625%
Viscera Cleanup Detail: Santa's Rampage,23.13,-4.96,46,50.2826%
Secrets of Grindea,65.19,-28.67,130,50.1462%
Trine 3: The Artifacts of Power,58.9,7.87,255,23.098%
Magic 2014,87,-30.09,144,60.4167%
Boring Man - Online Tactical Stickman Combat,106.48,-3.2,176,60.5%
The Flame in the Flood,19.99,-15.04,40,49.975%
Epistory - Typing Chronicles,5.33,-4.9,44,12.1136%
Alan Wake's American Nightmare,10.85,-5.23,30,36.1667%
Mordheim: City of the Damned,633.33,189.48,2715,23.3271%
Reus,36.15,-19.72,82,44.0854%
"Invisible, Inc.",64.21,-54.92,128,50.1641%
klocki,17.41,-20.95,79,22.038%
Titan Souls,28.54,-6.53,113,25.2566%
Worm.is: The Game,327.96,-339.56,598,54.8428%
Freedom Planet,20.33,-11.19,43,47.2791%
Owlboy,0.33,NA,2,16.5%
911 Operator,0.37,NA,14,2.6429%
Botanicula,7.58,-8.59,22,34.4545%
Worms Armageddon,92.86,-48.61,207,44.8599%
Home Behind,139.4,-182.83,354,39.3785%
Dead Island Definitive Edition,63.87,-41.45,133,48.0226%
BRINK,26.61,12.77,133,20.0075%
Shadowrun: Dragonfall - Director's Cut,141.91,-74.7,287,49.446%
"Warhammer 40,000: Dawn of War - Game of the Year Edition",81.24,-39.18,150,54.16%
GRAV,55.38,-24.49,122,45.3934%
Tiny and Big: Grandpa's Leftovers,8.8,-0.08,29,30.3448%
Hexcells,25.5,9.58,146,17.4658%
World of Goo,12.56,-4.31,32,39.25%
Tricky Towers,21.34,20.99,78,27.359%
The Cat Lady,10.59,-5.66,27,39.2222%
Overlord,47.74,-9.24,95,50.2526%
Rec Room,49.14,7.92,112,43.875%
Endless Sky,140.62,1.09,232,60.6121%
Day of Defeat,172.34,-10.2,268,64.306%
The Legend of Heroes: Trails in the Sky,99.18,-62.23,208,47.6827%
Jet Set Radio,17.68,-8.48,40,44.2%
140,2.13,-0.36,8,26.625%
Gothic,27.84,-7.72,60,46.4%
The Final Station,28.05,27.85,1257,2.2315%
RPG Maker VX Ace,401.25,-92.52,529,75.8507%
One Way Heroics,48.65,-6.84,107,45.4673%
Car Mechanic Simulator 2014,26.41,-21.56,56,47.1607%
Team Fortress Classic,68.61,-6.21,143,47.979%
Space Rangers HD: A War Apart,108.18,-9.15,237,45.6456%
Defense Grid: The Awakening,65.98,-7.07,114,57.8772%
Death Road to Canada,158.28,98.1,367,43.1281%
Anomaly Warzone Earth,7.52,-4.45,48,15.6667%
Hearts of Iron III,262.24,-72.99,451,58.1463%
Wargame: AirLand Battle,93.57,-5.53,193,48.4819%
Caster,7.06,-4.31,22,32.0909%
F.E.A.R. 2: Project Origin,41.14,-4.45,87,47.2874%
Floating Point,15.69,-0.57,35,44.8286%
There's Poop In My Soup,10,-4.74,22,45.4545%
Heat Signature,0.04,-0.03,1,4%
Medieval Engineers,36.66,-0.15,77,47.6104%
"Gremlins, Inc.",55.96,-23.17,120,46.6333%
Hard Reset,19.91,4.07,52,38.2885%
HunieCam Studio,86.72,-72.69,145,59.8069%
Mad Games Tycoon,101.69,-9.44,252,40.3532%
Medal of Honor(TM) Single Player,24.56,-5.62,45,54.5778%
Mount & Blade,191.58,18.53,611,31.3552%
Sniper Elite: Nazi Zombie Army,19.87,-4.26,47,42.2766%
Overgrowth,12.86,3.41,41,31.3659%
DuckTales Remastered,30.08,11.42,201,14.9652%
Savage Lands,294.19,214.43,946,31.0983%
Arma: Cold War Assault,19.48,-4,44,44.2727%
ArcheAge,966.13,-105.37,1382,69.9081%
12 is Better Than 6,5.75,-14.55,17,33.8235%
LUFTRAUSERS,10.74,-7.47,26,41.3077%
Arizona Sunshine,0.06,-0.03,2,3%
Crazy Machines 3,2.07,0.83,17,12.1765%
Robot Roller-Derby Disco Dodgeball,32.43,-45.75,83,39.0723%
Turmoil,454.14,120.72,991,45.8264%
Card Hunter,192.44,-10.06,317,60.7066%
We Happy Few,277.21,68.58,1040,26.6548%
Blade Symphony,13.78,-10.29,34,40.5294%
King Arthur's Gold,55.76,-10.03,111,50.2342%
ibb & obb,21.26,-15.13,51,41.6863%
Cortex Command,25.05,-4.51,49,51.1224%
Alpha Protocol,24.71,-5.2,55,44.9273%
Teeworlds,82.06,2.02,170,48.2706%
Far Cry,66.64,24.36,290,22.9793%
Axiom Verge,34.94,-57.03,79,44.2278%
Plug & Play,1.62,-0.42,7,23.1429%
Counter-Strike: Global Offensive,353777.56,19466.5,636056,55.6205%
Dota 2,638212.65,-2014.33,1084198,58.865%
Rust,30949.75,5588.78,64555,47.9432%
Team Fortress 2,54459.35,3096.62,72643,74.9685%
Grand Theft Auto V,45166.12,5013.29,71778,62.9247%
Tom Clancy's Rainbow Six Siege,10854.23,1851.49,39382,27.5614%
Rocket League,29447.91,3327.09,58676,50.1873%
Path of Exile,7425.06,-4308.87,13960,53.1881%
ARK: Survival Evolved,39067.7,-3319.2,69764,55.9998%
PAYDAY 2,14500.3,-352.05,34862,41.5934%
Warframe,28526.17,2199.23,61417,46.4467%
Euro Truck Simulator 2,10286.94,1370.78,20773,49.5207%
Stardew Valley,9299.77,1730.11,21032,44.2172%
Garry's Mod,38341.36,3594.31,59522,64.4154%
Dead by Daylight,13338.93,2091.16,23743,56.1805%
War Thunder,9696.34,-1382.98,14474,66.9914%
DayZ,8003.11,-2141.27,17818,44.9159%
Hearts of Iron IV,8959.48,-3366.58,15776,56.7918%
The Elder Scrolls Online,3286.39,467.68,7008,46.8948%
Brawlhalla,5321.35,22.94,8692,61.2212%
Unturned,28739.29,4588.32,39683,72.4222%
Spacewar,6475.1,601.54,10199,63.4876%
7 Days to Die,7629.5,2553.71,14629,52.1533%
SMITE,8520.67,-640.5,15348,55.5165%
Sid Meier's Civilization V,43326.5,4801.98,73683,58.8012%
FINAL FANTASY XIV Online,5008.78,176.55,8946,55.989%
RimWorld,4700.59,4698.66,14984,31.3707%
Europa Universalis IV,7113.75,704.8,12212,58.2521%
Counter-Strike,13112.67,-170.04,21136,62.0395%
Arma 3,26615.05,1329.89,46635,57.071%
Factorio,4859.37,342.68,8183,59.3837%
DARK SOULS III,6915.17,-2956.7,12211,56.6307%
Fallout 4,24357.33,-874.69,41541,58.6344%
Stellaris,6581.55,-2522.98,13827,47.5993%
The Forest,3432.53,285.33,7888,43.5158%
The Binding of Isaac: Rebirth,5246.88,109.94,7432,70.5985%
Oxygen Not Included,1.5,0.33,5,30%
Conan Exiles,0.33,-0.55,13,2.5385%
Human: Fall Flat,77.78,77.11,496,15.6815%
Dying Light,2855.27,773.74,7349,38.8525%
Geometry Dash,1987.8,-36.66,3158,62.9449%
Company of Heroes 2,4502.98,53.56,8514,52.8891%
Mount & Blade: Warband,8012,750.05,14827,54.0366%
Total War: ROME II - Emperor Edition,6610.49,360.11,12002,55.0782%
Squad,646.69,53.74,1682,38.4477%
Grim Dawn,3287.02,736.32,6442,51.0248%
BeamNG.drive,828.52,78.01,1889,43.8602%
Killing Floor 2,1791,-798.91,3867,46.315%
Prison Architect,3955.72,666.48,12053,32.8194%
Kerbal Space Program,2755.42,239.77,4694,58.7009%
Total War: MEDIEVAL II - Definitive Edition,2827.63,150.73,4920,57.4722%
Clicker Heroes,17928.42,917.6,24911,71.9699%
AdVenture Capitalist,4534.75,-658.67,10158,44.6422%
Starbound,12220.47,10538.47,62201,19.6467%
Warface,3348.74,-160.04,5332,62.8046%
Crusader Kings II,3637.77,480.69,6440,56.4871%
XCOM 2,6353.36,1903.15,14289,44.4633%
Blender,423.3,-5.86,579,73.1088%
The Isle,438.86,117.76,951,46.1472%
Borderlands 2,7405.84,1353.32,15058,49.1821%
Kenshi,213.73,89.73,362,59.0414%
Heroes & Generals,4499.98,-347.12,8197,54.8979%
Shakes and Fidget,2384.4,-521.02,4471,53.3304%
Subnautica,2558.14,-62.18,6988,36.6076%
Total War: EMPIRE - Definitive Edition,3031.07,43.7,5208,58.2003%
The Sims(TM) 3,2915.44,632.57,6647,43.861%
Transformice,1242.43,118.2,2013,61.7203%
Total War: ATTILA,3437.73,492.5,6372,53.9506%
Darkest Dungeon®,1656.13,164.86,4331,38.239%
Total War: SHOGUN 2,2768.25,33.3,4837,57.2307%
Portal 2,2620.86,636.07,7117,36.8253%
Fishing Planet,1055.68,42.24,1962,53.8063%
Star Trek Online,2235.91,913.31,4557,49.0654%
Men of War: Assault Squad 2,1158.35,46.14,2375,48.7726%
Trove,8176.4,2088.48,14099,57.9928%
DARK SOULS II: Scholar of the First Sin,2421.44,97.76,4481,54.0379%
Gems of War,909.62,81.37,1399,65.0193%
Aseprite,100.19,8.64,155,64.6387%
Neverwinter,1813.15,-129.26,2854,63.5301%
Street Fighter V,2124.81,1035.27,6931,30.6566%
PlanetSide 2,2086.14,-277.82,3339,62.478%
The Long Dark,1205.05,275.5,2789,43.2072%
Knight Online,4790.7,-1245.02,6351,75.4322%
Project Zomboid,655.66,-1.36,1289,50.8658%
Realm of the Mad God Exalt,944.95,235.02,1878,50.3168%
METAL GEAR SOLID V: THE PHANTOM PAIN,3797.57,-2.43,7109,53.4192%
theHunter Classic,611.94,-84.32,1138,53.7733%
ASTRONEER,0.93,0.78,11,8.4545%
Microsoft Flight Simulator X: Steam Edition,2218.63,84.87,3567,62.1988%
EVGA Precision X1,2337.64,-271.62,3338,70.0312%
Robocraft,5570.82,-232.47,8851,62.94%
Don't Starve,2575.4,365.8,5095,50.5476%
Age of Mythology: Extended Edition,1288.18,378.24,3268,39.418%
Train Simulator,1188.07,73.68,2378,49.9609%
Call of Duty: Black Ops III,6543.53,-427.44,13494,48.4921%
Heroes of Might & Magic III - HD Edition,577.38,77.59,1161,49.7313%
Total War: NAPOLEON - Definitive Edition,1475.26,43.31,2528,58.3568%
Company of Heroes,1512.73,93.42,2606,58.048%
Grand Theft Auto IV: The Complete Edition,1065.69,253.96,2431,43.8375%
Sniper Elite 4,1.13,-0.29,12,9.4167%
Rome: Total War,1015.32,22.87,1765,57.5252%
Tree of Savior (English Ver.),9523.31,-3500.29,15975,59.6138%
FaceRig,110.26,-3.96,260,42.4077%
Assassin's Creed IV Black Flag,1759.1,587.99,4536,38.7809%
Plants vs. Zombies: Game of the Year,420.23,75.49,734,57.252%
Plague Inc: Evolved,446.79,102.72,1023,43.6745%
Total War: WARHAMMER,15101.32,-12576.81,29273,51.5879%
Stronghold Crusader HD,295.7,38.96,635,46.5669%
Sid Meier's Civilization IV: Beyond the Sword,858.63,32.08,1382,62.1295%
Tomb Raider,1254.43,270.17,3144,39.8992%
MapleStory,823.92,187.78,1745,47.216%
Tracks of Triumph: Industrial Zone,1.79,1.06,11,16.2727%
Assassin's Creed Unity,428.61,128.14,1144,37.4659%
Sid Meier's Civilization III: Complete,627.96,6.63,1015,61.868%
DCS World Steam Edition,138.35,6.08,237,58.3755%
Banished,1578.94,71.35,3065,51.5152%
XCOM: Enemy Unknown,1928.12,223.03,3864,49.8996%
OMSI 2,517.44,4.76,1141,45.3497%
The Elder Scrolls IV: Oblivion,1012.41,150.8,2102,48.1641%
Crusaders of the Lost Idols,1381.94,-77.19,1886,73.2736%
Farming Simulator 17,2.4,NA,16,15%
Spore,1032.79,172.46,2809,36.7672%
Insurgency,2129.16,-548.63,3593,59.2586%
Enter the Gungeon,1091.92,-226.35,2153,50.7162%
Source Filmmaker,827.43,39.18,1124,73.6148%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,357.93,66.65,833,42.9688%
The Lord of the Rings Online,891.92,106.01,1761,50.6485%
Victoria II,510.72,70.73,925,55.213%
Undertale,2828.11,322.38,5023,56.3032%
DOOM,4383.28,-732.28,11610,37.7543%
Just Cause 3,1963.91,256.51,4420,44.4324%
Naval Action,894.13,284.94,1670,53.5407%
Football Manager 2016,38139.7,540.3,68505,55.6743%
Battle Brothers,137.87,80.33,348,39.6178%
Governor of Poker 3,173.87,14.63,392,44.3546%
FTL: Faster Than Light,1283.42,116.15,2595,49.4574%
Rocksmith® 2014 Edition - Remastered,742.52,55.53,1414,52.512%
Half-Life 2,891.48,119.07,2109,42.2703%
TERA,0.17,0.14,2,8.5%
Divinity: Original Sin Enhanced Edition,1681.17,599.19,4329,38.8351%
Wolcen: Lords of Mayhem,10.69,0.38,52,20.5577%
Football Manager 2015,6806.7,-868.88,11985,56.7935%
Batman: Arkham Knight,1801.2,812.6,3828,47.0533%
Fallout: New Vegas RU,422.36,41.67,831,50.8255%
Wreckfest,58.72,-6.04,168,34.9524%
The Witcher 2: Assassins of Kings Enhanced Edition,1225.28,-277.03,2936,41.733%
Wargame: Red Dragon,868.05,-24,1444,60.1143%
Idling to Rule the Gods,983.5,-655.95,1382,71.165%
Crush Crush,573.3,-474.56,840,68.25%
"Warhammer 40,000: Dawn of War - Soulstorm",698.5,27.75,1236,56.5129%
Far Cry 4,1216.12,392.45,2924,41.591%
Black Mesa,323.31,121.99,1060,30.5009%
Life is Feudal: Your Own,1293.48,-185.49,2735,47.2936%
The Witcher: Enhanced Edition,1152.06,-257.29,2932,39.2926%
BioShock Infinite,1323.72,474.76,3640,36.3659%
Bloons TD Battles,665.41,-167.79,1119,59.4647%
RPG Maker MV,491.39,-71.55,781,62.9181%
STAR WARS Knights of the Old Republic II: The Sith Lords,512.05,-30.95,881,58.1215%
Resident Evil 4,255.94,-23.78,506,50.581%
This War of Mine,1203.1,-208.3,3836,31.3634%
RaceRoom Racing Experience,237.05,-31.73,620,38.2339%
Far Cry® 3,1139.59,291.85,3037,37.5235%
Resident Evil 6,602.01,-145.2,1540,39.0916%
Blood Bowl 2,304.37,91.61,953,31.9381%
Tom Clancy's The Division,5481.3,-606.31,12583,43.5612%
Sins of a Solar Empire: Rebellion,767.04,26.26,1375,55.7847%
rFactor 2,147.73,0.04,332,44.497%
Rise of Nations: Extended Edition,697.31,176.85,1737,40.1445%
Danganronpa 2: Goodbye Despair,356.21,174.81,549,64.8834%
Ori and the Blind Forest: Definitive Edition,167.93,12.45,312,53.8237%
Borderlands: The Pre-Sequel,1576.15,444.7,3328,47.3603%
Middle-earth: Shadow of Mordor,2656.69,1125.72,7784,34.1301%
ShareX,30.67,-9.81,54,56.7963%
Counter-Strike Nexon: Studio,3538.43,-192.33,5569,63.538%
Mad Max,1560.62,624.99,4645,33.5978%
Golf With Your Friends,1021.33,185.66,2499,40.8695%
Friday the 13th: The Game,0.38,0.19,9,4.2222%
Left 4 Dead,469.65,72.99,1079,43.5264%
Ultimate Chicken Horse,216.8,75.29,485,44.701%
Feed and Grow: Fish,67.58,-27.96,102,66.2549%
TerraTech,435.11,249.03,933,46.6356%
Age of Wonders III,690.67,-112.09,1463,47.2092%
Stronghold Kingdoms,904.79,-123.04,1381,65.517%
Baldur's Gate II: Enhanced Edition,298.92,32.85,533,56.0826%
Resident Evil 5,230.15,4.81,400,57.5375%
Football Manager 2012,857.77,-60.83,1702,50.3978%
Borderless Gaming,212.34,6.14,342,62.0877%
Mass Effect,599.54,142.11,1582,37.8976%
The Elder Scrolls III: Morrowind,393.67,55.25,717,54.9052%
SimCity 4 Deluxe,333.15,19.95,660,50.4773%
Dungeon Defenders II,1115.47,79.13,2488,44.834%
F1 2012,124,-5.06,290,42.7586%
Farming Simulator 2013,264.6,36.98,523,50.5927%
Football Manager 2014,2548.94,-239.78,4698,54.2559%
F1 2014,181.96,-8.06,470,38.7149%
Construction-Simulator 2015,392.77,77.39,939,41.8285%
Car Mechanic Simulator 2015,561.47,80.37,1308,42.9258%
F1 2015,269.21,15.95,732,36.7773%
Pro Evolution Soccer 2016,2118.96,-72.49,3841,55.1669%
F1 2016,18.33,-0.87,70,26.1857%
Lost Castle,569.32,393.83,1364,41.739%
Sven Co-op,390.07,-16.54,595,65.558%
Marvel Puzzle Quest,549.41,-27.92,856,64.1834%
Torchlight II,1514.01,432.63,4141,36.5615%
Sleeping Dogs: Definitive Edition,323.41,78.64,771,41.9468%
S.T.A.L.K.E.R.: Shadow of Chernobyl,264.28,83.37,701,37.7004%
Call of Duty: Modern Warfare 2,579.82,10.67,1074,53.987%
DC Universe Online,745.69,-16.99,1227,60.7734%
Danganronpa: Trigger Happy Havoc,274.02,118.98,615,44.5561%
Outlast,231.9,20.41,617,37.5851%
Hacknet,90.51,-129.12,310,29.1968%
Farming Simulator 15,3784.03,390.43,7145,52.9605%
Terraria,19813.61,1004.73,33051,59.9486%
Left 4 Dead 2,11478.09,2404.24,22622,50.7386%
The Witcher 3: Wild Hunt,14430.46,-7693.33,31244,46.1863%
Life is Strange,2647.68,1774.38,9816,26.9731%
Z1 Battle Royale,7844.99,-179.58,11969,65.5442%
Don't Starve Together,6459.51,740.05,14146,45.6632%
Counter-Strike: Source,5903.48,-246.68,10131,58.2714%
Cities: Skylines,5213.49,-1024.41,10020,52.0308%
Fallout: New Vegas,2693.42,88.22,4501,59.8405%
Space Engineers,3207.41,98.76,6381,50.265%
Saints Row IV,1478.15,364.25,3869,38.205%
Age of Empires II (2013),6834.32,1644.96,15426,44.3039%
Killing Floor,730.7,66.67,1409,51.8595%
Portal,541.14,89.57,1651,32.7765%
Chivalry: Medieval Warfare,1344.79,48.53,3113,43.1992%
Castle Crashers,963.69,190.59,2799,34.4298%
Rise of the Tomb Raider,2783.32,769.8,7704,36.1282%
No More Room in Hell,955.53,75.92,1356,70.4668%
BattleBlock Theater,830.53,220.63,2629,31.5911%
Goat Simulator,382.6,-104.01,837,45.7109%
Hotline Miami,235.79,-12.92,738,31.9499%
Saints Row: The Third,1209.65,169.56,2846,42.5035%
Dirty Bomb,2190.78,-255.77,3724,58.8287%
The Binding of Isaac,441.82,3.02,752,58.7527%
To the Moon,76.14,17.16,219,34.7671%
Dishonored,1310.84,-183.51,3024,43.3479%
POSTAL 2,321.14,45.76,819,39.2112%
South Park: The Stick of Truth,1437.61,244.38,5547,25.9169%
PAYDAY: The Heist,276.92,-24.07,723,38.3015%
Just Cause 2,659.47,63.15,1568,42.058%
Firewatch,236.67,54.51,1293,18.3039%
Spec Ops: The Line,224.84,119.17,683,32.9195%
Brothers - A Tale of Two Sons,71.76,17.48,223,32.1794%
The Stanley Parable,199.94,-169.88,665,30.0662%
Mafia II (Classic),982.69,-729.29,2256,43.559%
Everlasting Summer,574.76,-111.44,941,61.0797%
